A->B | () False
A->Q | ('B', 'F') False
A->Q | ('B', 'F', 'P') False
A->Q | ('B', 'F', 'P', 'X') True
A->Q | ('B', 'F', 'P', 'X', 'Y') True
A->Q | ('B', 'F', 'P', 'Y') False
A->Q | ('B', 'F', 'X') True
A->Q | ('B', 'F', 'X', 'Y') True
A->Q | ('B', 'F', 'Y') False
A->Q | ('B', 'P') False
A->Q | ('B', 'P', 'X') True
A->Q | ('B', 'P', 'X', 'Y') True
A->Q | ('B', 'P', 'Y') False
A->Q | ('B', 'X') True
A->Q | ('B', 'X', 'Y') True
A->Q | ('B', 'Y') False
A->Q | ('F',) False
A->Q | ('F', 'P') False
A->Q | ('F', 'P', 'X') True
A->Q | ('F', 'P', 'X', 'Y') True
A->Q | ('F', 'P', 'Y') False
A->Q | ('F', 'X') True
A->Q | ('F', 'X', 'Y') True
A->Q | ('F', 'Y') False
A->Q | ('P',) False
A->Q | ('P', 'X') True
A->Q | ('P', 'X', 'Y') True
A->Q | ('P', 'Y') False
A->Q | ('X',) True
A->Q | ('X', 'Y') True
A->Q | ('Y',) False
A->X | () False
A->X | ('B',) False
A->X | ('B', 'F') False
A->X | ('B', 'F', 'P') False
A->X | ('B', 'F', 'P', 'Q') False
A->X | ('B', 'F', 'P', 'Q', 'Y') False
A->X | ('B', 'F', 'P', 'Y') False
A->X | ('B', 'F', 'Q') False
A->X | ('B', 'F', 'Q', 'Y') False
A->X | ('B', 'F', 'Y') False
A->X | ('B', 'P') False
A->X | ('B', 'P', 'Q') False
A->X | ('B', 'P', 'Q', 'Y') False
A->X | ('B', 'P', 'Y') False
A->X | ('B', 'Q') False
A->X | ('B', 'Q', 'Y') False
A->X | ('B', 'Y') False
A->X | ('F',) False
A->X | ('F', 'P') False
A->X | ('F', 'P', 'Q') False
A->X | ('F', 'P', 'Q', 'Y') False
A->X | ('F', 'P', 'Y') False
A->X | ('F', 'Q') False
A->X | ('F', 'Q', 'Y') False
A->X | ('F', 'Y') False
A->X | ('P',) False
A->X | ('P', 'Q') False
A->X | ('P', 'Q', 'Y') False
A->X | ('P', 'Y') False
A->X | ('Q',) False
A->X | ('Q', 'Y') False
A->X | ('Y',) False
A->Y | () False
A->Y | ('B',) False
A->Y | ('B', 'F') False
A->Y | ('B', 'F', 'P') True
A->Y | ('B', 'F', 'P', 'Q') True
A->Y | ('B', 'F', 'P', 'Q', 'X') True
A->Y | ('B', 'F', 'P', 'X') True
A->Y | ('B', 'F', 'Q') False
A->Y | ('B', 'F', 'Q', 'X') True
A->Y | ('B', 'F', 'X') True
A->Y | ('B', 'P') True
A->Y | ('B', 'P', 'Q') True
A->Y | ('B', 'P', 'Q', 'X') True
A->Y | ('B', 'P', 'X') True
A->Y | ('B', 'Q') False
A->Y | ('B', 'Q', 'X') True
A->Y | ('B', 'X') True
A->Y | ('F',) False
A->Y | ('F', 'P') False
A->Y | ('F', 'P', 'Q') False
A->Y | ('F', 'P', 'Q', 'X') True
A->Y | ('F', 'P', 'X') True
A->Y | ('F', 'Q') False
A->Y | ('F', 'Q', 'X') True
A->Y | ('F', 'X') True
A->Y | ('P',) False
A->Y | ('P', 'Q') False
A->Y | ('P', 'Q', 'X') True
A->Y | ('P', 'X') True
A->Y | ('Q',) False
A->Y | ('Q', 'X') True
A->Y | ('X',) True
B->A | () False
B->A | ('F',) False
B->A | ('F', 'P') False
B->A | ('F', 'P', 'Q') False
B->A | ('F', 'P', 'Q', 'X') True
B->A | ('F', 'P', 'Q', 'X', 'Y') True
B->A | ('F', 'P', 'Q', 'Y') False
B->A | ('F', 'P', 'X') True
B->A | ('F', 'P', 'X', 'Y') True
B->A | ('F', 'P', 'Y') False
B->A | ('F', 'Q') False
B->A | ('F', 'Q', 'X') True
B->A | ('F', 'Q', 'X', 'Y') True
B->A | ('F', 'Q', 'Y') False
B->A | ('F', 'X') True
B->A | ('F', 'X', 'Y') True
B->A | ('F', 'Y') False
B->A | ('P',) False
B->A | ('P', 'Q') False
B->A | ('P', 'Q', 'X') True
B->A | ('P', 'Q', 'X', 'Y') True
B->A | ('P', 'Q', 'Y') False
B->A | ('P', 'X') True
B->A | ('P', 'X', 'Y') True
B->A | ('P', 'Y') False
B->A | ('Q',) False
B->A | ('Q', 'X') True
B->A | ('Q', 'X', 'Y') True
B->A | ('Q', 'Y') False
B->A | ('X',) True
B->A | ('X', 'Y') True
B->A | ('Y',) False
B->F | () False
B->F | ('A',) False
B->F | ('A', 'P') False
B->F | ('A', 'P', 'Q') False
B->F | ('A', 'P', 'Q', 'X') False
B->F | ('A', 'P', 'Q', 'X', 'Y') False
B->F | ('A', 'P', 'Q', 'Y') False
B->F | ('A', 'P', 'X') False
B->F | ('A', 'P', 'X', 'Y') False
B->F | ('A', 'P', 'Y') False
B->F | ('A', 'Q') False
B->F | ('A', 'Q', 'X') False
B->F | ('A', 'Q', 'X', 'Y') False
B->F | ('A', 'Q', 'Y') False
B->F | ('A', 'X') False
B->F | ('A', 'X', 'Y') False
B->F | ('A', 'Y') False
B->F | ('P',) False
B->F | ('P', 'Q') False
B->F | ('P', 'Q', 'X') False
B->F | ('P', 'Q', 'X', 'Y') False
B->F | ('P', 'Q', 'Y') False
B->F | ('P', 'X') False
B->F | ('P', 'X', 'Y') False
B->F | ('P', 'Y') False
B->F | ('Q',) False
B->F | ('Q', 'X') False
B->F | ('Q', 'X', 'Y') False
B->F | ('Q', 'Y') False
B->F | ('X',) False
B->F | ('X', 'Y') False
B->F | ('Y',) False
B->P | () False
B->P | ('A',) False
B->P | ('A', 'F') False
B->P | ('A', 'F', 'Q') False
B->P | ('A', 'F', 'Q', 'X') True
B->P | ('A', 'F', 'Q', 'X', 'Y') False
B->P | ('A', 'F', 'Q', 'Y') False
B->P | ('A', 'F', 'X') True
B->P | ('A', 'F', 'X', 'Y') False
B->P | ('A', 'F', 'Y') False
B->P | ('A', 'Q') False
B->P | ('A', 'Q', 'X') True
B->P | ('A', 'Q', 'X', 'Y') False
B->P | ('A', 'Q', 'Y') False
B->P | ('A', 'X') True
B->P | ('A', 'X', 'Y') False
B->P | ('A', 'Y') False
B->P | ('F',) False
B->P | ('F', 'Q') False
B->P | ('F', 'Q', 'X') True
B->P | ('F', 'Q', 'X', 'Y') False
B->P | ('F', 'Q', 'Y') False
B->P | ('F', 'X') True
B->P | ('F', 'X', 'Y') False
B->P | ('F', 'Y') False
B->P | ('Q',) False
B->P | ('Q', 'X') True
B->P | ('Q', 'X', 'Y') False
B->P | ('Q', 'Y') False
B->P | ('X',) True
B->P | ('X', 'Y') False
B->P | ('Y',) False
B->Q | () False
B->Q | ('A',) False
B->Q | ('A', 'F') False
B->Q | ('A', 'F', 'P') False
B->Q | ('A', 'F', 'P', 'X') True
B->Q | ('A', 'F', 'P', 'X', 'Y') True
B->Q | ('A', 'F', 'P', 'Y') False
B->Q | ('A', 'F', 'X') True
B->Q | ('A', 'F', 'X', 'Y') False
B->Q | ('A', 'F', 'Y') False
B->Q | ('A', 'P') False
B->Q | ('A', 'P', 'X') True
B->Q | ('A', 'P', 'X', 'Y') True
B->Q | ('A', 'P', 'Y') False
B->Q | ('A', 'X') True
B->Q | ('A', 'X', 'Y') False
B->Q | ('A', 'Y') False
B->Q | ('F',) False
B->Q | ('F', 'P') False
B->Q | ('F', 'P', 'X') True
B->Q | ('F', 'P', 'X', 'Y') True
B->Q | ('F', 'P', 'Y') False
B->Q | ('F', 'X') True
B->Q | ('F', 'X', 'Y') False
B->Q | ('F', 'Y') False
B->Q | ('P',) False
B->Q | ('P', 'X') True
B->Q | ('P', 'X', 'Y') True
B->Q | ('P', 'Y') False
B->Q | ('X',) True
B->Q | ('X', 'Y') False
B->Q | ('Y',) False
B->X | () False
B->X | ('A',) False
B->X | ('A', 'F') False
B->X | ('A', 'F', 'P') False
B->X | ('A', 'F', 'P', 'Q') False
B->X | ('A', 'F', 'P', 'Q', 'Y') False
B->X | ('A', 'F', 'P', 'Y') False
B->X | ('A', 'F', 'Q') False
B->X | ('A', 'F', 'Q', 'Y') False
B->X | ('A', 'F', 'Y') False
B->X | ('A', 'P') False
B->X | ('A', 'P', 'Q') False
B->X | ('A', 'P', 'Q', 'Y') False
B->X | ('A', 'P', 'Y') False
B->X | ('A', 'Q') False
B->X | ('A', 'Q', 'Y') False
B->X | ('A', 'Y') False
B->X | ('F',) False
B->X | ('F', 'P') False
B->X | ('F', 'P', 'Q') False
B->X | ('F', 'P', 'Q', 'Y') False
B->X | ('F', 'P', 'Y') False
B->X | ('F', 'Q') False
B->X | ('F', 'Q', 'Y') False
B->X | ('F', 'Y') False
B->X | ('P',) False
B->X | ('P', 'Q') False
B->X | ('P', 'Q', 'Y') False
B->X | ('P', 'Y') False
B->X | ('Q',) False
B->X | ('Q', 'Y') False
B->X | ('Y',) False
B->Y | () False
B->Y | ('A',) False
B->Y | ('A', 'F') False
B->Y | ('A', 'F', 'P') False
B->Y | ('A', 'F', 'P', 'Q') False
B->Y | ('A', 'F', 'P', 'Q', 'X') False
B->Y | ('A', 'F', 'P', 'X') False
B->Y | ('A', 'F', 'Q') False
B->Y | ('A', 'F', 'Q', 'X') False
B->Y | ('A', 'F', 'X') False
B->Y | ('A', 'P') False
B->Y | ('A', 'P', 'Q') False
B->Y | ('A', 'P', 'Q', 'X') False
B->Y | ('A', 'P', 'X') False
B->Y | ('A', 'Q') False
B->Y | ('A', 'Q', 'X') False
B->Y | ('A', 'X') False
B->Y | ('F',) False
B->Y | ('F', 'P') False
B->Y | ('F', 'P', 'Q') False
B->Y | ('F', 'P', 'Q', 'X') False
B->Y | ('F', 'P', 'X') False
B->Y | ('F', 'Q') False
B->Y | ('F', 'Q', 'X') False
B->Y | ('F', 'X') False
B->Y | ('P',) False
B->Y | ('P', 'Q') False
B->Y | ('P', 'Q', 'X') False
B->Y | ('P', 'X') False
B->Y | ('Q',) False
B->Y | ('Q', 'X') False
B->Y | ('X',) False
F->A | () False
F->A | ('B',) True
F->A | ('B', 'P') True
F->A | ('B', 'P', 'Q') True
F->A | ('B', 'P', 'Q', 'X') True
F->A | ('B', 'P', 'Q', 'X', 'Y') True
F->A | ('B', 'P', 'Q', 'Y') True
F->A | ('B', 'P', 'X') True
F->A | ('B', 'P', 'X', 'Y') True
F->A | ('B', 'P', 'Y') True
F->A | ('B', 'Q') True
F->A | ('B', 'Q', 'X') True
F->A | ('B', 'Q', 'X', 'Y') True
F->A | ('B', 'Q', 'Y') True
F->A | ('B', 'X') True
F->A | ('B', 'X', 'Y') True
F->A | ('B', 'Y') True
F->A | ('P',) False
F->A | ('P', 'Q') False
F->A | ('P', 'Q', 'X') True
F->A | ('P', 'Q', 'X', 'Y') True
F->A | ('P', 'Q', 'Y') False
F->A | ('P', 'X') True
F->A | ('P', 'X', 'Y') True
F->A | ('P', 'Y') False
F->A | ('Q',) False
F->A | ('Q', 'X') True
F->A | ('Q', 'X', 'Y') True
F->A | ('Q', 'Y') False
F->A | ('X',) True
F->A | ('X', 'Y') True
F->A | ('Y',) False
F->B | () False
F->B | ('A',) False
F->B | ('A', 'P') False
F->B | ('A', 'P', 'Q') False
F->B | ('A', 'P', 'Q', 'X') False
F->B | ('A', 'P', 'Q', 'X', 'Y') False
F->B | ('A', 'P', 'Q', 'Y') False
F->B | ('A', 'P', 'X') False
F->B | ('A', 'P', 'X', 'Y') False
F->B | ('A', 'P', 'Y') False
F->B | ('A', 'Q') False
F->B | ('A', 'Q', 'X') False
F->B | ('A', 'Q', 'X', 'Y') False
F->B | ('A', 'Q', 'Y') False
F->B | ('A', 'X') False
F->B | ('A', 'X', 'Y') False
F->B | ('A', 'Y') False
F->B | ('P',) False
F->B | ('P', 'Q') False
F->B | ('P', 'Q', 'X') False
F->B | ('P', 'Q', 'X', 'Y') False
F->B | ('P', 'Q', 'Y') False
F->B | ('P', 'X') False
F->B | ('P', 'X', 'Y') False
F->B | ('P', 'Y') False
F->B | ('Q',) False
F->B | ('Q', 'X') False
F->B | ('Q', 'X', 'Y') False
F->B | ('Q', 'Y') False
F->B | ('X',) False
F->B | ('X', 'Y') False
F->B | ('Y',) False
F->P | () False
F->P | ('A',) False
F->P | ('A', 'B') True
F->P | ('A', 'B', 'Q') True
F->P | ('A', 'B', 'Q', 'X') True
F->P | ('A', 'B', 'Q', 'X', 'Y') True
F->P | ('A', 'B', 'Q', 'Y') True
F->P | ('A', 'B', 'X') True
F->P | ('A', 'B', 'X', 'Y') True
F->P | ('A', 'B', 'Y') True
F->P | ('A', 'Q') False
F->P | ('A', 'Q', 'X') True
F->P | ('A', 'Q', 'X', 'Y') False
F->P | ('A', 'Q', 'Y') False
F->P | ('A', 'X') True
F->P | ('A', 'X', 'Y') False
F->P | ('A', 'Y') False
F->P | ('B',) True
F->P | ('B', 'Q') True
F->P | ('B', 'Q', 'X') True
F->P | ('B', 'Q', 'X', 'Y') True
F->P | ('B', 'Q', 'Y') True
F->P | ('B', 'X') True
F->P | ('B', 'X', 'Y') True
F->P | ('B', 'Y') True
F->P | ('Q',) False
F->P | ('Q', 'X') True
F->P | ('Q', 'X', 'Y') False
F->P | ('Q', 'Y') False
F->P | ('X',) True
F->P | ('X', 'Y') False
F->P | ('Y',) False
F->Q | () False
F->Q | ('A',) False
F->Q | ('A', 'B') True
F->Q | ('A', 'B', 'P') True
F->Q | ('A', 'B', 'P', 'X') True
F->Q | ('A', 'B', 'P', 'X', 'Y') True
F->Q | ('A', 'B', 'P', 'Y') True
F->Q | ('A', 'B', 'X') True
F->Q | ('A', 'B', 'X', 'Y') True
F->Q | ('A', 'B', 'Y') True
F->Q | ('A', 'P') False
F->Q | ('A', 'P', 'X') True
F->Q | ('A', 'P', 'X', 'Y') True
F->Q | ('A', 'P', 'Y') False
F->Q | ('A', 'X') True
F->Q | ('A', 'X', 'Y') False
F->Q | ('A', 'Y') False
F->Q | ('B',) True
F->Q | ('B', 'P') True
F->Q | ('B', 'P', 'X') True
F->Q | ('B', 'P', 'X', 'Y') True
F->Q | ('B', 'P', 'Y') True
F->Q | ('B', 'X') True
F->Q | ('B', 'X', 'Y') True
F->Q | ('B', 'Y') True
F->Q | ('P',) False
F->Q | ('P', 'X') True
F->Q | ('P', 'X', 'Y') True
F->Q | ('P', 'Y') False
F->Q | ('X',) True
F->Q | ('X', 'Y') False
F->Q | ('Y',) False
F->X | () False
F->X | ('A',) False
F->X | ('A', 'B') True
F->X | ('A', 'B', 'P') True
F->X | ('A', 'B', 'P', 'Q') True
F->X | ('A', 'B', 'P', 'Q', 'Y') True
F->X | ('A', 'B', 'P', 'Y') True
F->X | ('A', 'B', 'Q') True
F->X | ('A', 'B', 'Q', 'Y') True
F->X | ('A', 'B', 'Y') True
F->X | ('A', 'P') False
F->X | ('A', 'P', 'Q') False
F->X | ('A', 'P', 'Q', 'Y') False
F->X | ('A', 'P', 'Y') False
F->X | ('A', 'Q') False
F->X | ('A', 'Q', 'Y') False
F->X | ('A', 'Y') False
F->X | ('B',) True
F->X | ('B', 'P') True
F->X | ('B', 'P', 'Q') True
F->X | ('B', 'P', 'Q', 'Y') True
F->X | ('B', 'P', 'Y') True
F->X | ('B', 'Q') True
F->X | ('B', 'Q', 'Y') True
F->X | ('B', 'Y') True
F->X | ('P',) False
F->X | ('P', 'Q') False
F->X | ('P', 'Q', 'Y') False
F->X | ('P', 'Y') False
F->X | ('Q',) False
F->X | ('Q', 'Y') False
F->X | ('Y',) False
F->Y | () False
F->Y | ('A',) False
F->Y | ('A', 'B') True
F->Y | ('A', 'B', 'P') True
F->Y | ('A', 'B', 'P', 'Q') True
F->Y | ('A', 'B', 'P', 'Q', 'X') True
F->Y | ('A', 'B', 'P', 'X') True
F->Y | ('A', 'B', 'Q') True
F->Y | ('A', 'B', 'Q', 'X') True
F->Y | ('A', 'B', 'X') True
F->Y | ('A', 'P') False
F->Y | ('A', 'P', 'Q') False
F->Y | ('A', 'P', 'Q', 'X') False
F->Y | ('A', 'P', 'X') False
F->Y | ('A', 'Q') False
F->Y | ('A', 'Q', 'X') False
F->Y | ('A', 'X') False
F->Y | ('B',) True
F->Y | ('B', 'P') True
F->Y | ('B', 'P', 'Q') True
F->Y | ('B', 'P', 'Q', 'X') True
F->Y | ('B', 'P', 'X') True
F->Y | ('B', 'Q') True
F->Y | ('B', 'Q', 'X') True
F->Y | ('B', 'X') True
F->Y | ('P',) False
F->Y | ('P', 'Q') False
F->Y | ('P', 'Q', 'X') False
F->Y | ('P', 'X') False
F->Y | ('Q',) False
F->Y | ('Q', 'X') False
F->Y | ('X',) False
P->A | () False
P->A | ('B',) False
P->A | ('B', 'F') False
P->A | ('B', 'F', 'Q') False
P->A | ('B', 'F', 'Q', 'X') True
P->A | ('B', 'F', 'Q', 'X', 'Y') True
P->A | ('B', 'F', 'Q', 'Y') False
P->A | ('B', 'F', 'X') True
P->A | ('B', 'F', 'X', 'Y') True
P->A | ('B', 'F', 'Y') False
P->A | ('B', 'Q') False
P->A | ('B', 'Q', 'X') True
P->A | ('B', 'Q', 'X', 'Y') True
P->A | ('B', 'Q', 'Y') False
P->A | ('B', 'X') True
P->A | ('B', 'X', 'Y') True
P->A | ('B', 'Y') False
P->A | ('F',) False
P->A | ('F', 'Q') False
P->A | ('F', 'Q', 'X') True
P->A | ('F', 'Q', 'X', 'Y') True
P->A | ('F', 'Q', 'Y') False
P->A | ('F', 'X') True
P->A | ('F', 'X', 'Y') True
P->A | ('F', 'Y') False
P->A | ('Q',) False
P->A | ('Q', 'X') True
P->A | ('Q', 'X', 'Y') True
P->A | ('Q', 'Y') False
P->A | ('X',) True
P->A | ('X', 'Y') True
P->A | ('Y',) False
P->B | () False
P->B | ('A',) False
P->B | ('A', 'F') False
P->B | ('A', 'F', 'Q') False
P->B | ('A', 'F', 'Q', 'X') True
P->B | ('A', 'F', 'Q', 'X', 'Y') False
P->B | ('A', 'F', 'Q', 'Y') False
P->B | ('A', 'F', 'X') True
P->B | ('A', 'F', 'X', 'Y') False
P->B | ('A', 'F', 'Y') False
P->B | ('A', 'Q') False
P->B | ('A', 'Q', 'X') True
P->B | ('A', 'Q', 'X', 'Y') False
P->B | ('A', 'Q', 'Y') False
P->B | ('A', 'X') True
P->B | ('A', 'X', 'Y') False
P->B | ('A', 'Y') False
P->B | ('F',) False
P->B | ('F', 'Q') False
P->B | ('F', 'Q', 'X') True
P->B | ('F', 'Q', 'X', 'Y') False
P->B | ('F', 'Q', 'Y') False
P->B | ('F', 'X') True
P->B | ('F', 'X', 'Y') False
P->B | ('F', 'Y') False
P->B | ('Q',) False
P->B | ('Q', 'X') True
P->B | ('Q', 'X', 'Y') False
P->B | ('Q', 'Y') False
P->B | ('X',) True
P->B | ('X', 'Y') False
P->B | ('Y',) False
P->F | () False
P->F | ('A',) False
P->F | ('A', 'B') True
P->F | ('A', 'B', 'Q') True
P->F | ('A', 'B', 'Q', 'X') True
P->F | ('A', 'B', 'Q', 'X', 'Y') True
P->F | ('A', 'B', 'Q', 'Y') True
P->F | ('A', 'B', 'X') True
P->F | ('A', 'B', 'X', 'Y') True
P->F | ('A', 'B', 'Y') True
P->F | ('A', 'Q') False
P->F | ('A', 'Q', 'X') True
P->F | ('A', 'Q', 'X', 'Y') False
P->F | ('A', 'Q', 'Y') False
P->F | ('A', 'X') True
P->F | ('A', 'X', 'Y') False
P->F | ('A', 'Y') False
P->F | ('B',) True
P->F | ('B', 'Q') True
P->F | ('B', 'Q', 'X') True
P->F | ('B', 'Q', 'X', 'Y') True
P->F | ('B', 'Q', 'Y') True
P->F | ('B', 'X') True
P->F | ('B', 'X', 'Y') True
P->F | ('B', 'Y') True
P->F | ('Q',) False
P->F | ('Q', 'X') True
P->F | ('Q', 'X', 'Y') False
P->F | ('Q', 'Y') False
P->F | ('X',) True
P->F | ('X', 'Y') False
P->F | ('Y',) False
P->Q | () True
P->Q | ('A',) False
P->Q | ('A', 'B') False
P->Q | ('A', 'B', 'F') False
P->Q | ('A', 'B', 'F', 'X') False
P->Q | ('A', 'B', 'F', 'X', 'Y') False
P->Q | ('A', 'B', 'F', 'Y') False
P->Q | ('A', 'B', 'X') False
P->Q | ('A', 'B', 'X', 'Y') False
P->Q | ('A', 'B', 'Y') False
P->Q | ('A', 'F') False
P->Q | ('A', 'F', 'X') False
P->Q | ('A', 'F', 'X', 'Y') False
P->Q | ('A', 'F', 'Y') False
P->Q | ('A', 'X') False
P->Q | ('A', 'X', 'Y') False
P->Q | ('A', 'Y') False
P->Q | ('B',) False
P->Q | ('B', 'F') False
P->Q | ('B', 'F', 'X') False
P->Q | ('B', 'F', 'X', 'Y') False
P->Q | ('B', 'F', 'Y') False
P->Q | ('B', 'X') False
P->Q | ('B', 'X', 'Y') False
P->Q | ('B', 'Y') False
P->Q | ('F',) False
P->Q | ('F', 'X') False
P->Q | ('F', 'X', 'Y') False
P->Q | ('F', 'Y') False
P->Q | ('X',) False
P->Q | ('X', 'Y') False
P->Q | ('Y',) False
P->X | () False
P->X | ('A',) False
P->X | ('A', 'B') False
P->X | ('A', 'B', 'F') False
P->X | ('A', 'B', 'F', 'Q') False
P->X | ('A', 'B', 'F', 'Q', 'Y') False
P->X | ('A', 'B', 'F', 'Y') False
P->X | ('A', 'B', 'Q') False
P->X | ('A', 'B', 'Q', 'Y') False
P->X | ('A', 'B', 'Y') False
P->X | ('A', 'F') False
P->X | ('A', 'F', 'Q') False
P->X | ('A', 'F', 'Q', 'Y') False
P->X | ('A', 'F', 'Y') False
P->X | ('A', 'Q') False
P->X | ('A', 'Q', 'Y') False
P->X | ('A', 'Y') False
P->X | ('B',) False
P->X | ('B', 'F') False
P->X | ('B', 'F', 'Q') False
P->X | ('B', 'F', 'Q', 'Y') False
P->X | ('B', 'F', 'Y') False
P->X | ('B', 'Q') False
P->X | ('B', 'Q', 'Y') False
P->X | ('B', 'Y') False
P->X | ('F',) False
P->X | ('F', 'Q') False
P->X | ('F', 'Q', 'Y') False
P->X | ('F', 'Y') False
P->X | ('Q',) False
P->X | ('Q', 'Y') False
P->X | ('Y',) False
P->Y | () False
P->Y | ('A',) False
P->Y | ('A', 'B') False
P->Y | ('A', 'B', 'F') False
P->Y | ('A', 'B', 'F', 'Q') False
P->Y | ('A', 'B', 'F', 'Q', 'X') False
P->Y | ('A', 'B', 'F', 'X') False
P->Y | ('A', 'B', 'Q') False
P->Y | ('A', 'B', 'Q', 'X') False
P->Y | ('A', 'B', 'X') False
P->Y | ('A', 'F') False
P->Y | ('A', 'F', 'Q') False
P->Y | ('A', 'F', 'Q', 'X') False
P->Y | ('A', 'F', 'X') False
P->Y | ('A', 'Q') False
P->Y | ('A', 'Q', 'X') False
P->Y | ('A', 'X') False
P->Y | ('B',) False
P->Y | ('B', 'F') False
P->Y | ('B', 'F', 'Q') False
P->Y | ('B', 'F', 'Q', 'X') False
P->Y | ('B', 'F', 'X') False
P->Y | ('B', 'Q') False
P->Y | ('B', 'Q', 'X') False
P->Y | ('B', 'X') False
P->Y | ('F',) False
P->Y | ('F', 'Q') False
P->Y | ('F', 'Q', 'X') False
P->Y | ('F', 'X') False
P->Y | ('Q',) False
P->Y | ('Q', 'X') False
P->Y | ('X',) False
Q->A | () False
Q->A | ('B',) False
Q->A | ('B', 'F') False
Q->A | ('B', 'F', 'P') False
Q->A | ('B', 'F', 'P', 'X') True
Q->A | ('B', 'F', 'P', 'X', 'Y') True
Q->A | ('B', 'F', 'P', 'Y') False
Q->A | ('B', 'F', 'X') True
Q->A | ('B', 'F', 'X', 'Y') True
Q->A | ('B', 'F', 'Y') False
Q->A | ('B', 'P') False
Q->A | ('B', 'P', 'X') True
Q->A | ('B', 'P', 'X', 'Y') True
Q->A | ('B', 'P', 'Y') False
Q->A | ('B', 'X') True
Q->A | ('B', 'X', 'Y') True
Q->A | ('B', 'Y') False
Q->A | ('F',) False
Q->A | ('F', 'P') False
Q->A | ('F', 'P', 'X') True
Q->A | ('F', 'P', 'X', 'Y') True
Q->A | ('F', 'P', 'Y') False
Q->A | ('F', 'X') True
Q->A | ('F', 'X', 'Y') True
Q->A | ('F', 'Y') False
Q->A | ('P',) False
Q->A | ('P', 'X') True
Q->A | ('P', 'X', 'Y') True
Q->A | ('P', 'Y') False
Q->A | ('X',) True
Q->A | ('X', 'Y') True
Q->A | ('Y',) False
Q->B | () False
Q->B | ('A',) False
Q->B | ('A', 'F') False
Q->B | ('A', 'F', 'P') False
Q->B | ('A', 'F', 'P', 'X') True
